ts,phase,level,online,restores,est_npkts
1786576291,disarmed,64.2,1,37,
1786576292,armed,65.5,1,37,
1786576293,armed,66.3,1,37,
1786576294,armed,67.2,1,37,
1786576295,armed,68.0,1,37,
1786576296,armed,68.8,1,37,
1786576297,armed,69.9,1,37,
1786576298,armed,70.6,1,37,2197571
1786576299,armed,70.9,1,37,
1786576300,armed,66.0,1,37,
1786576301,armed,62.3,1,37,
1786576302,armed,57.1,1,37,
1786576303,armed,53.6,1,37,
1786576304,armed,50.2,1,37,
1786576305,armed,46.9,1,37,
1786576306,armed,43.6,1,37,
1786576307,armed,39.9,1,37,
1786576308,armed,36.8,1,37,
1786576309,armed,34.2,1,37,
1786576310,armed,31.4,1,37,
1786576311,armed,28.5,1,37,
1786576312,armed,26.2,1,37,
1786576313,armed,29.4,1,37,2200836
1786576314,armed,32.4,1,37,
1786576316,armed,34.2,1,37,
1786576317,armed,36.4,1,37,
1786576318,armed,38.1,1,37,
1786576319,armed,39.8,1,37,
1786576320,armed,41.6,1,37,
1786576321,armed,43.3,1,37,
1786576322,armed,45.3,1,37,
1786576323,armed,46.9,1,37,
1786576324,armed,48.4,1,37,
1786576325,armed,49.7,1,37,
1786576326,armed,51.1,1,37,
1786576327,armed,52.5,1,37,
1786576328,armed,54.1,1,37,
1786576329,armed,55.4,1,37,2204160
1786576330,armed,56.4,1,37,
1786576331,armed,57.6,1,37,
1786576332,armed,59.2,1,37,
1786576333,armed,60.2,1,37,
1786576334,armed,61.2,1,37,
1786576335,armed,62.2,1,37,
1786576336,armed,63.2,1,37,
1786576337,armed,64.4,1,37,
1786576338,armed,65.3,1,37,
1786576339,armed,66.1,1,37,
1786576340,armed,67.1,1,37,
1786576341,armed,67.9,1,37,
1786576342,armed,68.9,1,37,
1786576343,armed,69.7,1,37,
1786576344,armed,70.5,1,37,2207400
1786576345,armed,71.2,1,37,
1786576346,armed,65.5,1,37,
1786576347,armed,61.4,1,37,
1786576348,armed,57.5,1,37,
1786576349,armed,54.2,1,37,
1786576350,armed,49.9,1,37,
1786576351,armed,46.4,1,37,
1786576352,armed,43.0,1,37,
1786576353,armed,39.8,1,37,
1786576354,armed,37.2,1,37,
1786576355,armed,34.6,1,37,
1786576356,armed,30.9,1,37,
1786576357,armed,28.2,1,37,
1786576358,armed,25.9,1,37,
1786576359,armed,29.5,1,37,2210751
1786576360,armed,32.1,1,37,
1786576361,armed,34.5,1,37,
1786576362,armed,36.1,1,37,
1786576363,armed,38.0,1,37,
1786576364,armed,39.6,1,37,
1786576366,armed,42.0,1,37,
1786576367,armed,43.6,1,37,
1786576368,armed,45.2,1,37,
1786576369,armed,46.7,1,37,
1786576370,armed,48.2,1,37,
1786576371,armed,50.1,1,37,
1786576372,armed,51.3,1,37,
1786576373,armed,52.6,1,37,
1786576374,armed,53.9,1,37,
1786576375,armed,55.5,1,37,2214000
1786576376,armed,56.6,1,37,
1786576377,armed,57.8,1,37,
1786576378,armed,58.5,1,37,
1786576379,armed,60.1,1,37,
1786576380,armed,61.0,1,37,
1786576381,armed,62.4,1,37,
1786576382,armed,63.4,1,37,
1786576383,armed,64.3,1,37,
1786576384,armed,65.3,1,37,
1786576385,armed,66.1,1,37,
1786576386,armed,67.2,1,37,
1786576387,armed,68.1,1,37,
1786576388,armed,68.9,1,37,
1786576389,armed,69.7,1,37,
1786576390,armed,70.4,1,37,2217190
1786576391,armed,69.3,1,37,
1786576392,armed,65.5,1,37,
1786576393,armed,60.6,1,37,
1786576394,armed,57.5,1,37,
1786576395,armed,54.2,1,37,
1786576396,armed,49.7,1,37,
1786576397,armed,46.5,1,37,
1786576398,armed,43.3,1,37,
1786576399,armed,40.4,1,37,
1786576400,armed,36.3,1,37,
1786576401,armed,33.4,1,37,
1786576402,armed,31.0,1,37,
1786576403,armed,28.3,1,37,
1786576404,armed,26.1,1,37,
1786576405,armed,29.6,1,37,2220441
1786576406,armed,32.7,1,37,
1786576407,armed,34.2,1,37,
1786576408,armed,35.8,1,37,
1786576409,armed,37.7,1,37,
1786576410,armed,40.0,1,37,
1786576411,armed,41.7,1,37,
1786576412,armed,43.5,1,37,
1786576413,armed,44.9,1,37,
1786576414,armed,46.5,1,37,
1786576415,armed,48.4,1,37,
1786576417,armed,49.8,1,37,
1786576418,armed,51.0,1,37,
1786576419,armed,52.5,1,37,
1786576420,armed,54.1,1,37,
1786576421,armed,55.3,1,37,2223779
1786576422,armed,56.5,1,37,
1786576423,armed,57.6,1,37,
1786576424,armed,58.8,1,37,
1786576425,armed,60.2,1,37,
1786576426,armed,61.2,1,37,
1786576427,armed,62.2,1,37,
1786576428,armed,63.1,1,37,
1786576429,armed,64.2,1,37,
1786576430,armed,65.1,1,37,
1786576431,armed,66.3,1,37,
1786576432,armed,67.1,1,37,
1786576433,armed,68.0,1,37,
1786576434,armed,68.7,1,37,
1786576435,armed,69.6,1,37,
1786576436,armed,70.6,1,37,2227036
1786576437,armed,71.2,1,37,
1786576438,armed,66.0,1,37,
1786576439,armed,62.3,1,37,
1786576440,armed,58.4,1,37,
1786576441,armed,54.0,1,37,
1786576442,armed,50.5,1,37,
1786576443,armed,46.9,1,37,
1786576444,armed,43.9,1,37,
1786576445,armed,39.8,1,37,
1786576446,armed,37.2,1,37,
1786576447,armed,34.2,1,37,
1786576448,armed,31.5,1,37,
1786576449,armed,28.8,1,37,
1786576450,armed,25.8,1,37,
1786576451,armed,29.2,1,37,2230369
1786576452,armed,31.3,1,37,
1786576453,armed,33.4,1,37,
1786576454,armed,35.2,1,37,
1786576455,armed,37.7,1,37,
1786576456,armed,39.6,1,37,
1786576457,armed,41.2,1,37,
1786576458,armed,42.9,1,37,
1786576459,armed,45.1,1,37,
1786576460,armed,46.5,1,37,
1786576461,armed,48.0,1,37,
1786576462,armed,49.3,1,37,
1786576463,armed,50.8,1,37,
1786576464,armed,52.4,1,37,
1786576465,armed,53.8,1,37,
1786576467,armed,54.9,1,37,2233735
1786576468,armed,56.2,1,37,
1786576469,armed,57.4,1,37,
1786576470,armed,58.8,1,37,
1786576471,armed,59.9,1,37,
1786576472,armed,61.0,1,37,
1786576473,armed,61.9,1,37,
1786576474,armed,62.9,1,37,
1786576475,armed,64.2,1,37,
1786576476,armed,65.1,1,37,
1786576477,armed,66.1,1,37,
1786576478,armed,66.9,1,37,
1786576479,armed,67.7,1,37,
1786576480,armed,68.6,1,37,
1786576481,armed,69.6,1,37,
1786576482,armed,70.4,1,37,2236955
1786576483,armed,71.1,1,37,
1786576484,armed,65.6,1,37,
1786576485,armed,62.5,1,37,
1786576486,armed,58.4,1,37,
1786576487,armed,54.7,1,37,
1786576488,armed,51.5,1,37,
1786576489,armed,48.0,1,37,
1786576490,armed,44.0,1,37,
1786576491,armed,40.8,1,37,
1786576492,armed,37.6,1,37,
1786576493,armed,35.0,1,37,
1786576494,armed,32.0,1,37,
1786576495,armed,28.8,1,37,
1786576496,armed,26.2,1,37,
1786576497,armed,30.1,1,37,2240296
1786576498,armed,31.7,1,37,
1786576499,armed,33.6,1,37,
1786576500,armed,35.7,1,37,
1786576501,armed,37.2,1,37,
1786576502,armed,39.2,1,37,
1786576503,armed,40.8,1,37,
1786576504,armed,43.1,1,37,
1786576505,armed,44.8,1,37,
1786576506,armed,46.2,1,37,
1786576507,armed,47.7,1,37,
1786576508,armed,49.0,1,37,
1786576509,armed,50.9,1,37,
1786576510,armed,52.3,1,37,
1786576511,armed,53.5,1,37,
1786576512,armed,54.8,1,37,2243537
1786576513,armed,56.4,1,37,
1786576514,armed,57.5,1,37,
1786576515,armed,58.6,1,37,
1786576516,armed,59.6,1,37,
1786576517,armed,60.7,1,37,
1786576519,armed,62.0,1,37,
1786576520,armed,63.0,1,37,
1786576521,armed,64.0,1,37,
1786576522,armed,64.8,1,37,
1786576523,armed,66.1,1,37,
1786576524,armed,67.0,1,37,
1786576525,armed,67.7,1,37,
1786576526,armed,68.6,1,37,
1786576527,armed,69.4,1,37,
1786576528,armed,70.4,1,37,2246900
1786576529,armed,71.1,1,37,
1786576530,armed,65.5,1,37,
1786576531,armed,63.6,1,37,
1786576532,armed,60.0,1,37,
1786576533,armed,55.1,1,37,
1786576534,armed,51.7,1,37,
1786576535,armed,48.0,1,37,
1786576536,armed,45.1,1,37,
1786576537,armed,41.8,1,37,
1786576538,armed,37.7,1,37,
1786576539,armed,35.1,1,37,
1786576540,armed,32.5,1,37,
1786576541,armed,29.7,1,37,
1786576542,armed,26.5,1,37,
1786576543,armed,30.4,1,37,2250142
1786576544,armed,31.5,1,37,
1786576545,armed,32.7,1,37,
1786576546,armed,35.1,1,37,
1786576547,armed,37.0,1,37,
1786576548,armed,39.1,1,37,
1786576549,armed,40.9,1,37,
1786576550,armed,42.5,1,37,
1786576551,armed,44.2,1,37,
1786576552,armed,46.3,1,37,
1786576553,armed,47.7,1,37,
1786576554,armed,49.2,1,37,
1786576555,armed,50.4,1,37,
1786576556,armed,51.8,1,37,
1786576557,armed,53.5,1,37,
1786576558,armed,54.8,1,37,2253483
1786576559,armed,56.0,1,37,
1786576560,armed,57.1,1,37,
1786576561,armed,58.3,1,37,
1786576562,armed,59.6,1,37,
1786576563,armed,60.8,1,37,
1786576564,armed,61.7,1,37,
1786576565,armed,62.7,1,37,
1786576566,armed,63.9,1,37,
1786576567,armed,64.9,1,37,
1786576568,armed,65.7,1,37,
1786576569,armed,66.6,1,37,
1786576571,armed,67.5,1,37,
1786576572,armed,68.6,1,37,
1786576573,armed,69.4,1,37,
1786576574,armed,70.1,1,37,2256735
1786576575,armed,70.9,1,37,
1786576576,armed,67.5,1,37,
1786576577,armed,62.3,1,37,
1786576578,armed,59.2,1,37,
1786576579,armed,55.7,1,37,
1786576580,armed,52.1,1,37,
1786576581,armed,48.5,1,37,
1786576582,armed,44.6,1,37,
1786576583,armed,41.4,1,37,
