ts,level,online,restores
1786570667.640,66.9,1,27
1786570668.662,66.9,1,27
1786570669.686,66.9,1,27
1786570670.710,66.9,1,27
1786570671.733,66.9,1,27
1786570672.753,66.9,1,27
1786570673.772,66.9,1,27
1786570674.798,66.9,1,27
1786570675.819,66.9,1,27
1786570676.842,66.9,1,27
1786570677.867,66.9,1,27
1786570678.888,66.9,1,27
1786570679.909,66.9,1,27
1786570680.932,66.9,1,27
1786570681.951,66.9,1,27
1786570682.977,66.9,1,27
1786570683.999,66.9,1,27
1786570685.023,66.9,1,27
1786570686.047,66.9,1,27
1786570687.067,66.9,1,27
1786570688.087,66.9,1,27
1786570689.105,66.9,1,27
1786570690.127,66.9,1,27
1786570691.150,66.9,1,27
1786570692.170,66.9,1,27
1786570693.189,66.9,1,27
1786570694.209,66.9,1,27
1786570695.231,66.9,1,27
1786570696.256,66.9,1,27
1786570697.281,66.9,1,27
1786570698.304,66.9,1,27
1786570699.325,66.9,1,27
1786570700.346,66.9,1,27
1786570701.365,66.9,1,27
1786570702.386,66.9,1,27
1786570703.408,66.9,1,27
1786570704.431,66.9,1,27
1786570705.453,66.9,1,27
1786570706.474,66.9,1,27
1786570707.499,66.9,1,27
1786570708.524,66.9,1,27
1786570709.543,66.9,1,27
1786570710.561,66.9,1,27
1786570711.586,66.9,1,27
1786570712.609,66.9,1,27
1786570713.632,66.9,1,27
1786570714.653,66.9,1,27
1786570715.678,66.9,1,27
1786570716.698,66.9,1,27
1786570717.715,66.9,1,27
1786570718.738,66.9,1,27
1786570719.758,66.9,1,27
1786570720.783,66.9,1,27
1786570721.808,66.9,1,27
1786570722.834,66.9,1,27
1786570723.853,66.9,1,27
1786570724.875,66.9,1,27
1786570725.900,66.9,1,27
1786570726.919,66.9,1,27
1786570727.941,66.9,1,27
1786570728.962,66.9,1,27
1786570729.982,66.9,1,27
1786570731.006,66.9,1,27
1786570732.028,66.9,1,27
1786570733.050,66.9,1,27
1786570734.076,66.9,1,27
1786570735.094,66.9,1,27
1786570736.117,66.9,1,27
1786570737.139,66.9,1,27
1786570738.161,66.9,1,27
1786570739.181,66.9,1,27
1786570740.205,66.9,1,27
1786570741.227,66.9,1,27
1786570742.249,66.9,1,27
1786570743.274,66.9,1,27
1786570744.293,66.9,1,27
1786570745.312,66.9,1,27
1786570746.333,66.9,1,27
1786570747.356,66.9,1,27
1786570748.381,66.9,1,27
1786570749.401,66.9,1,27
1786570750.423,66.9,1,27
1786570751.446,66.9,1,27
1786570752.468,66.9,1,27
