ts,level,online,restores
1786566493.048,45.0,1,27
1786566494.072,42.2,1,27
1786566495.094,38.0,1,27
1786566496.117,35.0,1,27
1786566497.142,32.5,1,27
1786566498.161,29.7,1,27
1786566499.184,26.5,1,27
1786566500.209,28.8,1,27
1786566501.232,29.9,1,27
1786566502.252,32.4,1,27
1786566503.273,34.2,1,27
1786566504.294,36.8,1,27
1786566505.317,38.8,1,27
1786566506.337,40.4,1,27
1786566507.357,42.2,1,27
1786566508.382,43.6,1,27
1786566509.402,45.8,1,27
1786566510.423,47.3,1,27
1786566511.452,48.7,1,27
1786566512.472,50.1,1,27
1786566513.492,52.0,1,27
1786566514.510,53.2,1,27
1786566515.529,54.5,1,27
1786566516.554,55.6,1,27
1786566517.573,56.8,1,27
1786566518.597,58.3,1,27
1786566519.618,59.4,1,27
1786566520.638,60.4,1,27
1786566521.656,61.5,1,27
1786566522.680,62.4,1,27
1786566523.705,63.7,1,27
1786566524.724,64.7,1,27
1786566525.744,65.5,1,27
1786566526.768,66.4,1,27
1786566527.788,67.5,1,27
1786566528.809,68.4,1,27
1786566529.830,69.1,1,27
1786566530.853,69.9,1,27
1786566531.874,70.7,1,27
1786566532.897,68.4,1,27
1786566533.919,64.9,1,27
1786566534.944,60.8,1,27
1786566535.971,56.9,1,27
1786566536.993,52.2,1,27
1786566538.017,48.6,1,27
1786566539.043,45.7,1,27
1786566540.068,42.4,1,27
1786566541.087,39.5,1,27
1786566542.106,35.5,1,27
1786566543.127,32.7,1,27
1786566544.149,30.2,1,27
1786566545.170,27.6,1,27
1786566546.191,28.0,1,27
1786566547.214,30.3,1,27
1786566548.234,32.5,1,27
1786566549.255,34.3,1,27
1786566550.276,36.5,1,27
1786566551.299,38.7,1,27
1786566552.324,40.5,1,27
1786566553.345,42.1,1,27
1786566554.366,43.8,1,27
1786566555.387,45.8,1,27
1786566556.406,47.2,1,27
1786566557.426,48.7,1,27
1786566558.445,50.1,1,27
1786566559.466,51.4,1,27
1786566560.487,53.2,1,27
1786566561.510,54.5,1,27
1786566562.530,55.6,1,27
1786566563.551,56.8,1,27
1786566564.572,58.3,1,27
1786566565.592,59.4,1,27
1786566566.612,60.5,1,27
1786566567.631,61.5,1,27
1786566568.653,62.5,1,27
1786566569.676,63.7,1,27
1786566570.700,64.7,1,27
1786566571.719,65.5,1,27
1786566572.737,66.4,1,27
1786566573.757,67.2,1,27
1786566574.777,68.3,1,27
1786566575.794,69.2,1,27
1786566576.816,69.9,1,27
1786566577.836,70.7,1,27
1786566578.859,70.9,1,27
